energy,file
80,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.152721800685.h5
85,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.153113157682.h5
90,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.153434056682.h5
95,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.153908501681.h5
100,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.154216904681.h5
105,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.154500671814.h5
110,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.155018010672.h5
115,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.155912622283.h5
120,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.160154441684.h5
125,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.160851244695.h5
130,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.161244315652.h5
135,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.161552940113.h5
140,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.161842347598.h5
145,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.162125091684.h5
150,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.162616695911.h5
155,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.162856288945.h5
160,/afs/psi.ch/project/hedpc/raw_data/2016/2016_08_02/visibility_energy/series.160802.163143911687.h5
